# Table of offsets. Units: metres.
# x from transom, y half-breadth from centreline, z above baseline.
# Baseline z=0 is the lowest point of the canoe body.
       x   y_chine   z_chine   y_sheer   z_sheer    z_keel   z_crown
   4.752    0.4989    0.3433    0.7241    0.8919    0.1081    0.9469
   4.806    0.4885    0.3491    0.7140    0.8958    0.1149    0.9508
   4.860    0.4778    0.3554    0.7034    0.8997    0.1222    0.9547
   4.914    0.4668    0.3621    0.6924    0.9036    0.1301    0.9586
   4.968    0.4554    0.3693    0.6809    0.9076    0.1386    0.9626
   5.022    0.4438    0.3768    0.6689    0.9116    0.1476    0.9666
   5.076    0.4318    0.3847    0.6562    0.9157    0.1571    0.9707
   5.130    0.4194    0.3930    0.6429    0.9199    0.1672    0.9749
   5.184    0.4067    0.4017    0.6290    0.9241    0.1778    0.9791
   5.238    0.3936    0.4107    0.6144    0.9284    0.1889    0.9834
   5.292    0.3801    0.4202    0.5991    0.9327    0.2005    0.9877
   5.346    0.3662    0.4300    0.5829    0.9371    0.2126    0.9921
   5.400    0.3519    0.4401    0.5660    0.9416    0.2252    0.9966
   5.454    0.3371    0.4506    0.5483    0.9461    0.2383    1.0011
   5.508    0.3219    0.4615    0.5296    0.9507    0.2518    1.0057
   5.562    0.3063    0.4726    0.5100    0.9554    0.2658    1.0104
   5.616    0.2902    0.4842    0.4895    0.9602    0.2802    1.0152
   5.670    0.2736    0.4960    0.4680    0.9650    0.2950    1.0200
   5.724    0.2562    0.5086    0.4441    0.9700    0.3109    1.0250
   5.778    0.2376    0.5225    0.4167    0.9751    0.3286    1.0301
   5.832    0.2180    0.5375    0.3860    0.9803    0.3477    1.0353
   5.886    0.1973    0.5535    0.3523    0.9856    0.3683    1.0406
   5.940    0.1758    0.5705    0.3160    0.9911    0.3902    1.0461
   5.994    0.1534    0.5883    0.2772    0.9967    0.4133    1.0517
   6.048    0.1302    0.6069    0.2364    1.0024    0.4374    1.0574
   6.102    0.1064    0.6262    0.1938    1.0081    0.4625    1.0631
   6.156    0.0819    0.6460    0.1497    1.0140    0.4883    1.0690
   6.210    0.0570    0.6663    0.1044    1.0199    0.5148    1.0749
   6.264    0.0316    0.6870    0.0582    1.0260    0.5418    1.0810
   6.318    0.0144    0.7010    0.0270    1.0300    0.5600    1.0850
   6.372    0.0144    0.7010    0.0270    1.0300    0.5600    1.0850
   6.426    0.0144    0.7010    0.0270    1.0300    0.5600    1.0850
   6.480    0.0144    0.7010    0.0270    1.0300    0.5600    1.0850
